mode,route,contrast,metric,compared_mean,reference_mean,mean_difference,sd_difference,ci95_low,ci95_high,positive_flights,n_flights,sign_flip_p,bootstrap_resamples,bootstrap_seed
attitude_absolute,mid,M6_minus_M7,rpy_std_deg,5.47089545160515,3.94246144136781,1.52843401023735,2.09128257233078,-0.314188748577898,2.86808047184436,4,5,0.1875,20000,20260722
attitude_absolute,top,group,vt_rmse_3d_cm,4.60826996028255,3.58953594508896,1.01873401519359,0.273978511073606,0.824263211689011,1.25708477971709,5,5,0.0625,20000,20260722
attitude_absolute,top,group,visual_dispersion_3d_cm,3.72215432752603,2.16938335122772,1.55277097629831,0.33620580886479,1.31626890639498,1.8531185788409,5,5,0.0625,20000,20260722
attitude_absolute,top,group,kt_rmse_3d_cm,3.23842388649777,2.34975840173453,0.888665484763244,0.311632763160005,0.668670609187898,1.16527736426782,5,5,0.0625,20000,20260722
attitude_absolute,top,group,kalman_pos_std_3d_cm,3.22383676111479,2.03133806288688,1.19249869822791,0.344448290666149,0.947349440283652,1.4980785261842,5,5,0.0625,20000,20260722
attitude_absolute,top,group,rpy_std_deg,8.98091888743411,4.88986060257013,4.09105828486399,0.980241127952256,3.24143745277608,4.79244783710068,5,5,0.0625,20000,20260722
attitude_run_centered,bot,group,vt_rmse_3d_cm,4.22131816936363,3.73901800018727,0.48230016917636,0.284388709721428,0.251947718668771,0.694624931730969,5,5,0.0625,20000,20260722
attitude_run_centered,bot,group,visual_dispersion_3d_cm,3.02437319371722,2.60742401676751,0.416949176949709,0.332725324366763,0.166463181243371,0.677065325200644,5,5,0.0625,20000,20260722
attitude_run_centered,bot,group,kt_rmse_3d_cm,2.9449644310185,2.51983016251332,0.425134268505181,0.372820335405522,0.156664578168188,0.745981862730227,4,5,0.125,20000,20260722
attitude_run_centered,bot,group,kalman_pos_std_3d_cm,2.74376856298832,2.33479259859279,0.408975964395522,0.413237081119507,0.112777412408346,0.751048977817415,4,5,0.125,20000,20260722
attitude_run_centered,bot,group,rpy_std_deg,4.73719737305785,4.06722788467655,0.669969488381305,0.297144654503268,0.442233888585817,0.912702272002915,5,5,0.0625,20000,20260722
attitude_run_centered,mid,group,vt_rmse_3d_cm,3.6045602053146,3.42035896327073,0.184201242043875,0.387430791257087,-0.105432004046362,0.496007782713293,2,5,0.5,20000,20260722
attitude_run_centered,mid,M6_minus_M8,vt_rmse_3d_cm,3.91852969215896,3.42035896327073,0.498170728888234,0.354398704517818,0.250641989596663,0.804169849509803,5,5,0.0625,20000,20260722
attitude_run_centered,mid,M7_minus_M8,vt_rmse_3d_cm,3.29059071847024,3.42035896327073,-0.129768244800484,0.5289658168018,-0.475807283948631,0.319495367753768,1,5,0.5625,20000,20260722
attitude_run_centered,mid,M6_minus_M7,vt_rmse_3d_cm,3.91852969215896,3.29059071847024,0.627938973688718,0.458689526979892,0.245694165162205,0.949478708476045,4,5,0.125,20000,20260722
attitude_run_centered,mid,group,visual_dispersion_3d_cm,3.08110085021565,3.28796647707503,-0.20686562685938,0.342184995858348,-0.451763257728968,0.0774564642799335,2,5,0.25,20000,20260722
attitude_run_centered,mid,M6_minus_M8,visual_dispersion_3d_cm,3.52188546948544,3.28796647707503,0.233918992410405,0.347200006727905,-0.0307992819076791,0.510168390585949,3,5,0.25,20000,20260722
attitude_run_centered,mid,M7_minus_M8,visual_dispersion_3d_cm,2.64031623094586,3.28796647707503,-0.647650246129166,0.451864790249049,-0.939069613969501,-0.260781783814044,1,5,0.125,20000,20260722
attitude_run_centered,mid,M6_minus_M7,visual_dispersion_3d_cm,3.52188546948544,2.64031623094586,0.881569238539571,0.425554909635686,0.548484177937853,1.21465429914129,5,5,0.0625,20000,20260722
attitude_run_centered,mid,group,kt_rmse_3d_cm,2.5182705360481,2.97838471073527,-0.460114174687169,0.332392037457623,-0.70352990474988,-0.185340299282728,0,5,0.0625,20000,20260722
attitude_run_centered,mid,M6_minus_M8,kt_rmse_3d_cm,3.05206859640286,2.97838471073527,0.0736838856675905,0.395151035265288,-0.224549910982449,0.386258240588151,2,5,0.6875,20000,20260722
attitude_run_centered,mid,M7_minus_M8,kt_rmse_3d_cm,1.98447247569334,2.97838471073527,-0.993912235041928,0.358636565883572,-1.24273087049917,-0.68729721084224,0,5,0.0625,20000,20260722
attitude_run_centered,mid,M6_minus_M7,kt_rmse_3d_cm,3.05206859640286,1.98447247569334,1.06759612070952,0.357199087147576,0.820933525502939,1.37316666835335,5,5,0.0625,20000,20260722
attitude_run_centered,mid,group,kalman_pos_std_3d_cm,2.46067692955279,2.94192441718015,-0.481247487627359,0.34819066988891,-0.737757813673115,-0.206412643578195,1,5,0.125,20000,20260722
attitude_run_centered,mid,M6_minus_M8,kalman_pos_std_3d_cm,2.97782038612647,2.94192441718015,0.0358959689463226,0.412080404214057,-0.282200688780949,0.353992626673594,2,5,0.8125,20000,20260722
attitude_run_centered,mid,M7_minus_M8,kalman_pos_std_3d_cm,1.94353347297911,2.94192441718015,-0.99839094420104,0.358024308188237,-1.23780995710842,-0.704442807399931,0,5,0.0625,20000,20260722
attitude_run_centered,mid,M6_minus_M7,kalman_pos_std_3d_cm,2.97782038612647,1.94353347297911,1.03428691314736,0.333221186587858,0.794091492775867,1.32528322987056,5,5,0.0625,20000,20260722
attitude_run_centered,mid,group,rpy_std_deg,4.70667844648648,6.44367497422971,-1.73699652774323,0.891774086661746,-2.5218102692836,-1.13190032444647,0,5,0.0625,20000,20260722
attitude_run_centered,mid,M6_minus_M8,rpy_std_deg,5.47089545160515,6.44367497422971,-0.972779522624556,1.45090745500747,-2.08475669588363,0.139197650634521,1,5,0.3125,20000,20260722
attitude_run_centered,mid,M7_minus_M8,rpy_std_deg,3.94246144136781,6.44367497422971,-2.50121353286191,1.29310517706556,-3.4614632089263,-1.45783334096831,0,5,0.0625,20000,20260722
attitude_run_centered,mid,M6_minus_M7,rpy_std_deg,5.47089545160515,3.94246144136781,1.52843401023735,2.09128257233078,-0.314188748577898,2.86808047184436,4,5,0.1875,20000,20260722
attitude_run_centered,top,group,vt_rmse_3d_cm,4.75788826469407,3.75285002451581,1.00503824017825,0.282059184043483,0.806125700695445,1.24894968556167,5,5,0.0625,20000,20260722
attitude_run_centered,top,group,visual_dispersion_3d_cm,3.72200989850972,2.16935000374538,1.55265989476434,0.336651269352485,1.31578954825206,1.85338373960862,5,5,0.0625,20000,20260722
attitude_run_centered,top,group,kt_rmse_3d_cm,3.23842388649777,2.34975840173453,0.888665484763244,0.311632763160005,0.668670609187898,1.16527736426782,5,5,0.0625,20000,20260722
attitude_run_centered,top,group,kalman_pos_std_3d_cm,3.22383676111479,2.03133806288688,1.19249869822791,0.344448290666149,0.947349440283652,1.4980785261842,5,5,0.0625,20000,20260722
attitude_run_centered,top,group,rpy_std_deg,8.98091888743411,4.88986060257013,4.09105828486399,0.980241127952256,3.24143745277608,4.79244783710068,5,5,0.0625,20000,20260722
original_static,bot,group,vt_rmse_3d_cm,4.65830620240105,4.00677154556714,0.651534656833915,0.400559030945538,0.418954415035006,1.01080110803989,5,5,0.0625,20000,20260722
original_static,bot,group,visual_dispersion_3d_cm,3.57098482850612,2.99382206687262,0.577162761633503,0.164545297904483,0.441641120633944,0.687902238724639,5,5,0.0625,20000,20260722
original_static,bot,group,kt_rmse_3d_cm,2.9449644310185,2.51983016251332,0.425134268505181,0.372820335405522,0.156664578168188,0.745981862730227,4,5,0.125,20000,20260722
original_static,bot,group,kalman_pos_std_3d_cm,2.74376856298832,2.33479259859279,0.408975964395522,0.413237081119507,0.112777412408346,0.751048977817415,4,5,0.125,20000,20260722
original_static,bot,group,rpy_std_deg,4.73719737305785,4.06722788467655,0.669969488381305,0.297144654503268,0.442233888585817,0.912702272002915,5,5,0.0625,20000,20260722
original_static,mid,group,vt_rmse_3d_cm,4.31423644230236,4.29020549928891,0.0240309430134496,0.246911525775647,-0.165507099075809,0.213568985102708,3,5,0.9375,20000,20260722
original_static,mid,M6_minus_M8,vt_rmse_3d_cm,4.65123180132811,4.29020549928891,0.361026302039195,0.428473631184654,0.0173907632010168,0.673919993531663,4,5,0.1875,20000,20260722
original_static,mid,M7_minus_M8,vt_rmse_3d_cm,3.97724108327662,4.29020549928891,-0.312964416012295,0.389091627522195,-0.601371630210042,-0.0245572018145491,2,5,0.25,20000,20260722
original_static,mid,M6_minus_M7,vt_rmse_3d_cm,4.65123180132811,3.97724108327662,0.67399071805149,0.652765415914044,0.113447528045273,1.13283693386295,4,5,0.125,20000,20260722
original_static,mid,group,visual_dispersion_3d_cm,3.86712386209602,4.18963823569565,-0.32251437359963,0.284674435072831,-0.570554401988975,-0.116370443667961,0,5,0.0625,20000,20260722
