mode,route,contrast,metric,test,compared_mean,reference_mean,difference
attitude_absolute,mid,M6_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,2.74317842862322,2.33320688555703,0.409971543066182
attitude_absolute,mid,M6_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.70393618435318,2.9628919686312,-0.258955784278021
attitude_absolute,mid,M6_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.77324628609066,3.18735595714552,0.585890328945141
attitude_absolute,mid,M7_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,1.85891262428244,3.23541623373795,-1.37650360945551
attitude_absolute,mid,M7_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,2.01950346407638,3.17305250860465,-1.15354904452827
attitude_absolute,mid,M7_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,1.92186032309724,2.33320688555703,-0.41134656245979
attitude_absolute,mid,M7_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,1.9836273321687,2.9628919686312,-0.979264636462509
attitude_absolute,mid,M7_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,2.13845863484196,3.18735595714552,-1.04889732230356
attitude_absolute,mid,M6_minus_M7,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,2.9990649067771,1.85891262428244,1.14015228249466
attitude_absolute,mid,M6_minus_M7,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.04091717617015,2.01950346407638,1.02141371209377
attitude_absolute,mid,M6_minus_M7,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,2.74317842862322,1.92186032309724,0.821318105525973
attitude_absolute,mid,M6_minus_M7,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.70393618435318,1.9836273321687,0.720308852184489
attitude_absolute,mid,M6_minus_M7,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.77324628609066,2.13845863484196,1.6347876512487
attitude_absolute,mid,group,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,2.32046823929376,3.18481600262343,-0.864347763329679
attitude_absolute,mid,group,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,2.46682327238121,3.14086398829626,-0.674040715915052
attitude_absolute,mid,group,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,2.28782489238825,2.28491961844586,0.00290527394239248
attitude_absolute,mid,group,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.32234902346913,2.93436113334525,-0.612012109876115
attitude_absolute,mid,group,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,2.90591922023162,3.16466134318996,-0.258742122958342
attitude_absolute,mid,M6_minus_M8,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,2.819294124036,3.18481600262343,-0.365521878587435
attitude_absolute,mid,M6_minus_M8,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.00293429186712,3.14086398829626,-0.137929696429144
attitude_absolute,mid,M6_minus_M8,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,2.71395126066476,2.28491961844586,0.429031642218905
attitude_absolute,mid,M6_minus_M8,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.66334613819488,2.93436113334525,-0.271014995150366
attitude_absolute,mid,M6_minus_M8,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.68957611586961,3.16466134318996,0.524914772679653
attitude_absolute,mid,M7_minus_M8,kalman_pos_std_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,1.82164235455151,3.18481600262343,-1.36317364807192
