test,route,run,marker,gap_id,first_unboxed_frame_0,last_unboxed_frame_0,unboxed_frames,preceding_detection_time,following_detection_time
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,13,1040,1042,3,1766441695.4,1766441695.98
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,14,1047,1047,1,1766441696.39,1766441696.68
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,15,1052,1052,1,1766441697.11,1766441697.4
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,16,1061,1061,1,1766441698.41,1766441698.7
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,17,1063,1070,8,1766441698.7,1766441700.0
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,18,1072,1081,10,1766441700.0,1766441701.59
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M5,1,1167,1167,1,1766441713.71,1766441713.98
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M5,2,1175,1175,1,1766441714.84,1766441715.13
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M6,1,227,227,1,1766432944.16,1766432944.45
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M6,2,230,230,1,1766432944.59,1766432944.89
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,1,520,521,2,1766432987.11,1766432987.55
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,2,525,525,1,1766432987.84,1766432988.15
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,3,528,529,2,1766432988.28,1766432988.73
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,4,532,532,1,1766432988.86,1766432989.18
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,5,552,552,1,1766432991.92,1766432992.21
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,6,554,561,8,1766432992.21,1766432993.51
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,7,629,629,1,1766433003.28,1766433003.56
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,M7,8,632,633,2,1766433003.71,1766433004.14
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M6,1,230,231,2,1766437057.97,1766437058.4
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M6,2,252,253,2,1766437061.16,1766437061.6
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M6,3,290,291,2,1766437066.69,1766437067.12
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,1,536,536,1,1766437102.74,1766437103.02
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,2,541,541,1,1766437103.51,1766437103.77
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,3,548,549,2,1766437104.49,1766437104.96
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,4,551,551,1,1766437104.96,1766437105.26
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,5,553,554,2,1766437105.26,1766437105.65
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,6,576,576,1,1766437108.56,1766437108.85
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,7,614,614,1,1766437114.24,1766437114.53
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,8,618,618,1,1766437114.82,1766437115.12
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,9,623,624,2,1766437115.55,1766437115.98
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M7,10,631,631,1,1766437116.71,1766437117.01
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,M8,1,892,892,1,1766437155.87,1766437156.16
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M6,1,322,322,1,1766439607.42,1766439607.71
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M6,2,373,373,1,1766439614.96,1766439615.26
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,1,571,571,1,1766439644.92,1766439645.19
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,2,575,575,1,1766439645.48,1766439645.77
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,3,578,579,2,1766439645.92,1766439646.36
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,4,607,607,1,1766439650.28,1766439650.58
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,5,620,620,1,1766439652.32,1766439652.61
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,6,681,681,1,1766439661.36,1766439661.64
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,7,683,684,2,1766439661.64,1766439662.08
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,M7,8,686,686,1,1766439662.08,1766439662.36
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,1,177,177,1,1766441950.97,1766441951.39
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,2,227,230,4,1766441958.3,1766441959.02
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,3,235,235,1,1766441959.45,1766441959.75
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,4,240,242,3,1766441960.31,1766441960.91
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,5,248,249,2,1766441961.47,1766441961.9
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,6,251,251,1,1766441961.9,1766441962.37
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,7,253,254,2,1766441962.37,1766441962.77
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,8,256,256,1,1766441962.77,1766441963.05
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,9,258,258,1,1766441963.05,1766441963.33
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,10,299,299,1,1766441968.94,1766441969.25
