time_basis,test,level,run,segment,marker,time,vision_x,vision_y,vision_z,mocap_x_interp,mocap_y_interp,mocap_z_interp,error_x,error_y,error_z,error_3d,target_x,target_y,target_z,roll_deg,pitch_deg,yaw_deg,marker_x,marker_y,marker_z,absolute_x,absolute_y,absolute_z,centered_x,centered_y,centered_z,run_reference_roll_deg,run_reference_pitch_deg,run_reference_yaw_deg
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435751.71,0.946004403647426,0.247710421678325,2.170722787100768,0.8594178855419159,0.1490695014595985,2.1916943073272703,0.0865865181055101,0.0986409202187265,-0.0209715202265026,0.1329174966655767,0.875,0.116,2.2,3.2103834152221684,-1.1099406480789185,17.017663955688477,1.2714,0.0895,2.2,0.9139776178498649,0.14701445925830853,2.1733295188874524,0.9142851416407071,0.14864152333608338,2.1727741849536644,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435751.85,0.9369016007720684,0.2374767981815076,2.186289965554874,0.8762953310468008,0.1396838092788479,2.191499662367573,0.0606062697252676,0.0977929889026596,-0.0052096968126993,0.1151682662429536,0.875,0.116,2.2,0.4957596361637115,2.026577472686768,15.62461853027344,1.2714,0.0895,2.2,0.9091549517635857,0.14196380585073298,2.199407518405093,0.9093949432606614,0.14358359378132413,2.1987427373262505,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435752.0,0.931551534723591,0.2251841359016531,2.2017046884688143,0.8930359840393066,0.1259438514709472,2.1918505668640136,0.0385155506842843,0.0992402844307059,0.0098541216048007,0.106907368366279,0.875,0.116,2.2,-3.20603084564209,2.3620388507843018,15.589447021484379,1.2714,0.0895,2.2,0.9076656743605087,0.12876058528955123,2.2081250749652503,0.9078250742033949,0.130354151038821,2.2073676131667486,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435752.13,0.9288710160999684,0.2190568204027521,2.206789472644323,0.900478720664978,0.1200849562883377,2.1911392211914062,0.0283922954349903,0.0989718641144144,0.0156502514529166,0.1041464483162503,0.875,0.116,2.2,-3.677173376083374,1.5139620304107666,15.311876296997069,1.2714,0.0895,2.2,0.9068491074360959,0.12418885693278478,2.207516741235716,0.9069898164103105,0.1257865835403046,2.206758210883687,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435752.29,0.926152511292686,0.2169072888022372,2.198398795676681,0.8998672068119049,0.125911995768547,2.190519452095032,0.0262853044807811,0.0909952930336901,0.0078793435816493,0.095042856865796,0.875,0.116,2.2,0.3917610645294189,0.8371519446372986,14.0469388961792,1.2714,0.0895,2.2,0.9055759639158611,0.12931420529549822,2.204314305706272,0.9057520330845108,0.13096215160308067,2.2036693090549915,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435752.43,0.9300075678484564,0.2064723721154947,2.1877374494021,0.8979903636205253,0.1282484247887204,2.1914693596100845,0.032017204227931,0.0782239473267742,-0.0037319102079846,0.0846050498242005,0.875,0.116,2.2,3.334916830062866,0.2317940145730972,11.405811309814451,1.2714,0.0895,2.2,0.9134968886086907,0.13715091834433168,2.1959439485703482,0.9137248137139262,0.13878499575751643,2.1954011931719126,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435752.71,0.9105884767922332,0.1633382475216157,2.199279338113659,0.900871193408966,0.0999276973307131,2.1989201307296757,0.0097172833832671,0.0634105501909025,0.0003592073839837,0.0641517926624688,0.875,0.116,2.2,-1.7873274087905884,0.1543902307748794,5.327068328857422,1.2714,0.0895,2.2,0.9052902393001913,0.12946245447711624,2.1979489557245437,0.9054758747723819,0.1310900071835887,2.1972857212747847,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435752.87,0.8874202780525907,0.1421339520345116,2.198275557819342,0.9018217743999596,0.0828449269962887,2.201655649230441,-0.0144014963473689,0.0592890250382228,-0.0033800914110995,0.0611066003388642,0.875,0.116,2.2,-3.0001652240753174,0.4316164553165436,4.582428932189941,1.2714,0.0895,2.2,0.8844328185146766,0.11112462035702675,2.198415789744173,0.8845354700190182,0.1128299171428224,2.1977013301414683,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435753.0,0.8912525296566127,0.1350416484719462,2.202199890633073,0.9005290746688843,0.0784180849790572,2.2031835556030277,-0.0092765450122715,0.0566235634928889,-0.0009836649699543,0.057386843673189,0.875,0.116,2.2,-3.6547832489013676,1.0360333919525146,5.312554359436035,1.2714,0.0895,2.2,0.888713564110494,0.09970061250121609,2.2061660168345014,0.8887511555123304,0.10138269319317644,2.205444620055099,0.06258217897266148,0.08417333289980886,0.2580977529287338
timestamp,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,4,4,1766435753.17,0.8905915024444429,0.1424098650998252,2.204079817900434,0.894260666587136,0.0874909013509749,2.2047174843874844,-0.0036691641426931,0.0549189637488502,-0.0006376664870502,0.0550450902742674,0.875,0.116,2.2,-2.938116669654846,0.8218108117580414,6.884518623352051,1.2714,0.0895,2.2,0.8870365486814908,0.09652699571423436,2.2068241608465335,0.8870594420333019,0.09822670134448422,2.2061147963984524,0.06258217897266148,0.08417333289980886,0.2580977529287338
