stage,flight_id,unit_id,timestamp,original_x,original_y,original_z,reference_x,reference_y,reference_z,marker_x,marker_y,marker_z,target_x,target_y,target_z,nominal_heading_deg,roll_deg,pitch_deg,yaw_deg,absolute_x,absolute_y,absolute_z,centered_x,centered_y,centered_z,run_reference_roll_deg,run_reference_pitch_deg,run_reference_yaw_deg
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767651.84,1.005755442447571,0.0084342990080539,1.2075531383892983,1.014703392982483,0.0085131339728832,1.2077332735061646,1.25,0.0,1.2,1.0,0.0,1.2,0.0,1.526545166969299,0.47145953774452204,-0.1743270754814148,1.0058538592404034,0.008972964227856768,1.2097846337911964,1.0058971249498447,0.010322856137218842,1.2095297548072066,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767651.97,1.0073876756102813,0.0041364884038874,1.2065989965655877,1.0114493370056152,0.0065075941383838,1.2075802087783811,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.9249925017356873,0.5751807689666748,-0.9295533895492554,1.0075640944769324,0.00796351787426912,1.2091000732989756,1.0076021517167038,0.009298968965239452,1.2088436169965613,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.05,1.008079182800938,0.0022078869837812,1.2087558780513594,1.010974645614624,0.0068819667212665,1.2094773054122925,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.3193691074848175,0.3445674479007721,-0.2099598050117492,1.0081458224827027,0.003045337954120964,1.2102227537299066,1.0081552651254633,0.004380113741280071,1.2099579504278715,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.19,1.001448646257968,0.003948549225222,1.206663461784148,1.0072624683380127,0.0049120164476335,1.2085360288619995,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.374303936958313,-0.3893560469150543,0.4603354632854461,1.0013855794111257,0.0019075569126542442,1.2049999312808146,1.0013944362307667,0.0032734359517947007,1.2047250916372818,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.38,1.000708097400913,0.0021225541565058,1.2023368869503128,1.0059822797775269,0.0003077986184507,1.20254647731781,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.3852189481258392,-0.1377688497304916,-0.5357282161712646,1.0007341234502383,0.004469070244421396,1.201723130078616,1.0007602696067508,0.005824049615012964,1.2014339518195452,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.49,0.9993438192568568,-0.003176498224884,1.200937976872654,1.0066726207733154,0.0005508641479536,1.204338550567627,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.7771880626678467,0.3009291589260101,-0.9669018983840942,0.9993347352503309,0.0010666000584847921,1.2022974548132939,0.9993417228862946,0.002423952888894621,1.20201083393321,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.58,1.0013305660133731,-0.0059892817916532,1.203450073181157,1.0063399076461792,0.0006518038571812,1.2050961256027222,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.8827797770500183,0.197761595249176,-1.5094565153121948,1.0012742079941213,0.0006167172667320408,1.2044002217473426,1.0012764500347267,0.001969631698534254,1.2041204543692254,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.71,1.0057936517701749,-0.0060664849244979,1.2049949231325403,1.007813572883606,0.0057616587728261,1.2086105346679688,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.5897634029388428,0.2135855555534362,-1.6637881994247437,1.0057425112427067,0.0010775985142286578,1.2059674097905755,1.00574565166211,0.0024117457115871966,1.2056998958622993,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.85,0.99773227290985,-0.0024205742940924,1.2067270641044563,1.009708285331726,0.0129759795963764,1.2082546949386597,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.4231201708316803,0.5087567567825317,-1.729760766029358,0.9978421486518889,0.005143652128814754,1.2089487177232698,0.9978650908371225,0.006529918103888074,1.2086871430052157,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767652.97,1.007589258947551,0.0025261847787337,1.2066181915601288,1.010763168334961,0.0185473002493381,1.204182744026184,1.25,0.0,1.2,1.0,0.0,1.2,0.0,1.106127381324768,0.6111006736755371,-1.2927144765853882,1.0077899138918036,0.007864265954160109,1.2092507813249822,1.0078276039300094,0.009199353977544105,1.2090028836922273,0.1444325149059295,0.062363717705011305,0.3107174038887024
