mode,level,role,rmse_3d_cm,mean_offset_norm_cm,dispersion_3d_cm,mean_offset_squared_cm2,temporal_mean_square_cm2,mse_cm2,bias_x_cm,sd_x_cm,rmse_x_cm,p95_abs_x_cm,min_signed_x_cm,max_signed_x_cm,bias_y_cm,sd_y_cm,rmse_y_cm,p95_abs_y_cm,min_signed_y_cm,max_signed_y_cm,bias_z_cm,sd_z_cm,rmse_z_cm,p95_abs_z_cm,min_signed_z_cm,max_signed_z_cm
attitude_run_centered,top,compared,4.75788826469407,2.71595152834654,3.72200989850972,9.56070507212349,13.8772048285071,23.4379099006306,0.481767447037932,2.17905062943186,2.35464139712694,4.89160213642176,-5.0274510335496,6.87966941386375,2.53311321789766,2.53380194171886,3.75966881385322,6.85660591987254,-3.60592527257523,8.86009110899813,-0.0678281369461134,1.61809899824281,1.62394007103972,3.08829057391042,-4.85676626949129,3.86888727103095
attitude_run_centered,top,reference,3.75285002451581,2.97351942529876,2.16935000374538,10.466083217139,4.91536878348073,15.3814520006197,-0.645729295352141,1.29027477496688,1.67403825468057,3.0576915359119,-3.8874180372159,2.77806163140012,2.45024956512585,1.39087263603645,2.91078452776726,4.69564715386933,-1.16746103296914,5.87116614238706,0.0389344643156342,0.98069513887958,1.4004282330755,2.69532649809994,-2.45460887439574,2.85575815995492
kalman,bot,compared,2.94496443101851,1.08658383637256,2.74376856298832,1.18368552139334,7.54707396051797,8.73075948191131,0.060519663103658,1.5460092612988,1.55759203667806,2.91653809035573,-3.36800158739577,5.2914888369105,0.188056166896777,2.08992336292055,2.1049567824275,4.07857519968814,-5.11751812259112,5.09552572367738,1.02141146703758,0.842771835105989,1.32487842052766,2.37685373677752,-1.2612224028103,2.99632591307789
kalman,bot,reference,2.51983016251333,0.91864826957837,2.33479259859279,0.873562193800849,5.67516118157622,6.54872337537707,-0.0837094675395555,1.32490298568386,1.34609704356437,2.67143762522222,-4.09910789319852,3.45588010552077,0.142878985411013,1.74909238107647,1.76167411096097,3.54568279955415,-4.35905586465806,4.87573968066198,0.849080305274306,0.75063462994695,1.16687765696878,1.9690163703412,-1.51624929265826,2.61624093087445
kalman,mid,compared,2.51827053604811,0.541240677149334,2.46067692955279,0.34588764036275,6.3591657713062,6.70505341166895,0.0205673185559165,1.32994206548626,1.33741447567414,2.56570727589185,-3.13110416824407,3.21585250983558,0.218245797078764,1.74727319470227,1.76119808845627,3.19198993264404,-5.23837933156161,3.83441119973825,0.154017852965522,1.07249164805859,1.16253120332191,2.58242639606735,-2.48733850917753,2.6895581103598
kalman,mid,reference,2.97838471073528,0.509963353328207,2.94192441718015,0.263507354253669,8.72009296855405,8.98360032280772,-0.0205568018955712,1.8984769785462,1.89414791110903,3.61257871624778,-4.29175504758043,4.37301367050932,0.152188138827217,1.92649351577767,1.92815581179202,3.82820711297027,-4.68212930093648,5.32912418616019,-0.473048067705015,1.1381196359616,1.23072203309298,2.48101360467045,-3.70268750516392,2.05156010675608
kalman,top,compared,3.23842388649778,0.386970070307004,3.22383676111479,0.161824062438311,10.4097473291356,10.5715713915739,-0.0579262946952715,1.78718080629589,1.79194904259847,3.44311347606736,-4.82225127370629,3.99361242757681,0.293930958544964,2.51929981137278,2.53502862090598,4.97845148178456,-5.99931201180289,6.86281805702209,0.0591674426390199,0.833624731364977,0.835152517174122,1.6473843805984,-1.99572591666685,2.2787213390387
kalman,top,reference,2.34975840173453,1.08524274760761,2.03133806288688,1.70959933626006,4.34403004673544,6.05362938299549,-0.097765575451788,1.15633992087646,1.18001566449502,2.33296096258871,-3.04053569557676,2.78851713485066,0.270970363377861,1.38821156460513,1.41989151446264,2.7931654449492,-3.47727270672803,3.72293432388994,-0.492757186457446,0.801562533941157,1.34877547011762,2.55251913594265,-2.09271589400413,2.00203791608442
original_static,bot,compared,4.65830620240105,2.77889002800851,3.57098482850612,10.6309301453836,12.7242278828336,23.3551580282172,1.15396128162287,1.86029556962542,2.2384891532444,4.49355014320098,-3.46918328813132,7.19751280820165,-0.536824195294064,2.88279694800473,3.74343186377963,6.69053880366741,-6.72320976143024,6.10628273863884,1.13232531533366,0.934146296274958,1.51854357555731,2.60348067699161,-1.40411274315427,3.68842406182618
original_static,bot,reference,4.00677154556714,2.49190250535571,2.99382206687262,8.14736237433888,9.06084724324875,17.2082096175876,0.972788451643477,1.47667156595918,1.81704866293436,3.43122986019366,-2.73103794400912,5.25203063397942,-0.199585122368697,2.42790711107089,3.13996223331978,5.74123271900354,-5.81489880990538,5.87363121056078,1.30321705964535,0.862168939112043,1.56871148421333,2.55466014457556,-1.68850379896192,3.32830677845373
original_static,mid,compared,4.31423644230236,1.89031653376454,3.86712386209602,3.6543080064779,15.1849796543552,18.8392876608331,1.25391342159743,2.40629641484232,2.78022113078018,5.54018063099171,-3.49792695074638,9.55769450165576,-0.0198694365979927,2.83701731683444,2.85197615038592,5.62156031370036,-7.1849150430029,6.81013199005334,1.11393358235788,0.93755971518407,1.47110145265218,2.61293001951659,-1.72369931158655,3.42984277365136
original_static,mid,reference,4.29020549928891,0.934349387945072,4.18963823569565,0.957450122150579,17.5198965388063,18.4773466609569,0.0568161725082693,2.09777990795933,2.11093138936145,3.95542436966312,-4.59751081320606,5.48752004286992,0.423450623684788,3.45462534147815,3.51456466172618,6.84906363368978,-8.60562289374112,7.42128815895607,-0.620201929060335,1.07624689654828,1.24296825462945,2.54521620756854,-3.60609982751003,1.8503146263761
original_static,top,compared,6.16678067485527,2.60885589904411,5.4507944036629,8.94374739391257,29.6584280930353,38.6021754869479,0.659585884298652,2.54033762394665,2.75975333812824,5.73151535506024,-5.35989479262213,8.22768563476063,2.40439803124127,4.69811227931027,5.41043851944116,10.1353129735311,-11.592985154767,12.1584031892902,-0.122468565274466,1.01797006397947,1.03573433368587,2.03403932196008,-2.97316946160956,2.63958032999143
original_static,top,reference,4.38410390814847,2.64345611570871,3.40414047451781,8.46350155705396,12.1241302485446,20.5876318055985,-0.616886095188711,1.43622877922339,1.78037461168775,3.37704295872932,-4.14308869015774,3.27001399422277,2.02822796991906,2.98532360688304,3.7540264748196,6.59063449983581,-6.46682705080338,7.8899644822166,0.0362203511788272,0.727553402007809,1.23688505183778,2.28667190554699,-1.66624287558251,2.17394378718471
