shift_s,mode,route,metric,compared_mean,reference_mean,mean_difference,sd_difference,positive_flights,min_difference
-0.15,attitude_absolute,top,visual_dispersion_3d_cm,3.65527171170943,2.11924661753792,1.5360250941715,0.337463418212628,5,1.12802430098716
-0.15,attitude_absolute,top,vk_rmse_3d_cm,3.74119538921402,2.86013075166596,0.881064637548052,0.153424556006241,5,0.73529485219404
-0.15,attitude_absolute,top,kt_rmse_3d_cm,3.23204460762671,2.37936438975758,0.852680217869133,0.29903603415281,5,0.560242660965417
-0.15,attitude_absolute,top,kalman_pos_std_3d_cm,3.21633910701166,2.05976562049688,1.15657348651477,0.333874498604754,5,0.814922144147693
-0.15,attitude_absolute,top,rpy_std_deg,8.97637582130311,4.87678360685166,4.09959221445144,0.983888150508571,5,2.62403159682886
-0.15,attitude_run_centered,bot,vt_rmse_3d_cm,4.24035240467832,3.71044198955447,0.529910415123855,0.227529977146905,5,0.279793466324944
-0.15,attitude_run_centered,bot,visual_dispersion_3d_cm,3.04559703022541,2.5708468109226,0.474750219302813,0.265373826427623,5,0.17594112493513
-0.15,attitude_run_centered,bot,vk_rmse_3d_cm,3.5097227466026,3.13031587329659,0.379406873306016,0.346789416638934,5,0.0209589966008887
-0.15,attitude_run_centered,bot,kt_rmse_3d_cm,2.95962268805736,2.51802219708998,0.44160049096738,0.371649967270687,5,0.0148328763240295
-0.15,attitude_run_centered,bot,kalman_pos_std_3d_cm,2.75482118641853,2.33284003542052,0.421981150998015,0.411410745750232,4,-0.060776476679504
-0.15,attitude_run_centered,bot,rpy_std_deg,4.7332287660868,4.06812525154341,0.665103514543395,0.293845513118322,5,0.253794677290718
-0.15,attitude_run_centered,mid,vt_rmse_3d_cm,3.6116191589918,3.48802707309224,0.123592085899565,0.400719446578697,3,-0.294992524629076
-0.15,attitude_run_centered,mid,visual_dispersion_3d_cm,3.08577552990341,3.36002641870853,-0.274250888805119,0.386388962415926,1,-0.760101071267431
-0.15,attitude_run_centered,mid,vk_rmse_3d_cm,3.21280834244617,2.31438074253756,0.898427599908603,0.363939390693013,5,0.700077815919183
-0.15,attitude_run_centered,mid,kt_rmse_3d_cm,2.57293931667179,2.96092629133901,-0.38798697466722,0.385329889259593,1,-0.775985104614968
-0.15,attitude_run_centered,mid,kalman_pos_std_3d_cm,2.51417829282844,2.92076082633924,-0.406582533510804,0.401444628246773,1,-0.835936641006782
-0.15,attitude_run_centered,mid,rpy_std_deg,4.7102092202691,6.45297457894188,-1.74276535867278,0.893429400272184,0,-3.16158313721557
-0.15,attitude_run_centered,top,vt_rmse_3d_cm,4.66926346099977,3.72061436836783,0.948649092631931,0.281156417173236,5,0.598537129880683
