shift_s,mode,route,test,metric,difference
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test4,vk_rmse_3d_cm,1.01761027250339
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test5,vk_rmse_3d_cm,0.903900961643341
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test1,kt_rmse_3d_cm,0.54932749295304
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test2,kt_rmse_3d_cm,0.645998409388812
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test3,kt_rmse_3d_cm,1.00462545092275
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test4,kt_rmse_3d_cm,1.28124153375782
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test5,kt_rmse_3d_cm,0.728405700048507
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test1,kalman_pos_std_3d_cm,0.802764637471293
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test2,kalman_pos_std_3d_cm,0.982783235109199
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test3,kalman_pos_std_3d_cm,1.35375548845828
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test4,kalman_pos_std_3d_cm,1.62612619496355
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test5,kalman_pos_std_3d_cm,0.965880404199876
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test1,rpy_std_deg,2.61820410871576
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test2,rpy_std_deg,4.90290401835648
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test3,rpy_std_deg,4.62686733016188
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test4,rpy_std_deg,4.79289684831312
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test5,rpy_std_deg,3.55881706747079
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,vt_rmse_3d_cm,0.847258160550161
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,vt_rmse_3d_cm,0.572220359139511
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,vt_rmse_3d_cm,0.357958332485057
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,vt_rmse_3d_cm,0.333541007279129
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,vt_rmse_3d_cm,0.578652394208075
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,visual_dispersion_3d_cm,0.332904426733374
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,visual_dispersion_3d_cm,0.687622469738899
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,visual_dispersion_3d_cm,0.205200986572144
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,visual_dispersion_3d_cm,0.458567654593721
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,visual_dispersion_3d_cm,0.745421858990594
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,vk_rmse_3d_cm,0.921897180998918
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,vk_rmse_3d_cm,0.329831557157202
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,vk_rmse_3d_cm,0.130269644922913
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,vk_rmse_3d_cm,0.0523415229301105
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,vk_rmse_3d_cm,0.489779194852164
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,kt_rmse_3d_cm,0.268026275055508
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,kt_rmse_3d_cm,0.663615666994075
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,kt_rmse_3d_cm,0.0358329741136059
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,kt_rmse_3d_cm,0.296052067614021
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,kt_rmse_3d_cm,0.96845834433766
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,kalman_pos_std_3d_cm,0.262933667231123
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,kalman_pos_std_3d_cm,0.684936213443042
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,kalman_pos_std_3d_cm,-0.0361257449136403
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,kalman_pos_std_3d_cm,0.231289462932261
