extent_s,mode,route,metric,min_mean,max_mean,min_positive_flights,max_positive_flights,min_individual_difference
0.1,attitude_run_centered,top,kalman_pos_std_3d_cm,1.17067083447739,1.21761427483148,5,5,0.831550155564787
0.1,attitude_run_centered,top,kt_rmse_3d_cm,0.867116158787696,0.913337084819807,5,5,0.57639986461511
0.1,attitude_run_centered,top,rpy_std_deg,4.08485156352968,4.0965676036762,5,5,2.63047917277654
0.1,attitude_run_centered,top,visual_dispersion_3d_cm,1.50704676111475,1.72878196525281,5,5,1.14119491666676
0.1,attitude_run_centered,top,vk_rmse_3d_cm,0.839182995673671,1.24177256955134,5,5,0.69466572536107
0.1,attitude_run_centered,top,vt_rmse_3d_cm,0.933579015273617,1.19807952640703,5,5,0.575165418041101
0.1,original_static,bot,kalman_pos_std_3d_cm,0.408975964395522,0.417844360022814,4,4,-0.10237783758811
0.1,original_static,bot,kt_rmse_3d_cm,0.423315665854079,0.437265068378155,4,4,-0.024156779769934
0.1,original_static,bot,rpy_std_deg,0.667306696602165,0.670655229220341,5,5,0.255244597176611
0.1,original_static,bot,visual_dispersion_3d_cm,0.577162761633503,0.577162761633503,5,5,0.314801654244595
0.1,original_static,bot,vk_rmse_3d_cm,0.50626236946621,0.627940078403551,5,5,0.090871148971726
0.1,original_static,bot,vt_rmse_3d_cm,0.651534656833915,0.651534656833915,5,5,0.395924085449236
0.1,original_static,mid,kalman_pos_std_3d_cm,-0.534994585093197,-0.430384789868123,0,1,-0.877018963330137
0.1,original_static,mid,kt_rmse_3d_cm,-0.511689557354471,-0.411016532606486,0,1,-0.820854344066696
0.1,original_static,mid,rpy_std_deg,-1.73913496975806,-1.73628975970115,0,0,-3.19034490102807
0.1,original_static,mid,visual_dispersion_3d_cm,-0.322514373599631,-0.322514373599631,0,0,-0.731773828694545
0.1,original_static,mid,vk_rmse_3d_cm,0.0296075042685039,0.184350955330834,3,4,-0.712621172668304
0.1,original_static,mid,vt_rmse_3d_cm,0.0240309430134496,0.0240309430134496,3,3,-0.305122054985915
0.1,original_static,top,kalman_pos_std_3d_cm,1.17067083447739,1.21761427483148,5,5,0.831550155564787
0.1,original_static,top,kt_rmse_3d_cm,0.867116158787696,0.913337084819807,5,5,0.57639986461511
0.1,original_static,top,rpy_std_deg,4.08485156352968,4.0965676036762,5,5,2.63047917277654
0.1,original_static,top,visual_dispersion_3d_cm,2.04665392914509,2.04665392914509,5,5,1.40550763974135
0.1,original_static,top,vk_rmse_3d_cm,1.78670815915584,1.87848089012005,5,5,0.565208682233213
0.1,original_static,top,vt_rmse_3d_cm,1.78267676670681,1.78267676670681,5,5,0.878274031907142
0.15,attitude_absolute,bot,kalman_pos_std_3d_cm,0.408975964395522,0.421981150998015,4,4,-0.10237783758811
0.15,attitude_absolute,bot,kt_rmse_3d_cm,0.423315665854079,0.44160049096738,4,5,-0.024156779769934
0.15,attitude_absolute,bot,rpy_std_deg,0.665103514543395,0.670932622998637,5,5,0.253794677290718
0.15,attitude_absolute,bot,visual_dispersion_3d_cm,0.379709412440417,0.474865452057236,5,5,0.100162025766326
0.15,attitude_absolute,bot,vk_rmse_3d_cm,0.377397201844975,0.448471913877106,5,5,0.0314848644465209
0.15,attitude_absolute,bot,vt_rmse_3d_cm,0.447909866547766,0.533986888367841,5,5,0.124001512869998
0.15,attitude_absolute,mid,kalman_pos_std_3d_cm,-0.555880857364717,-0.406582533510804,0,1,-0.881207984881037
0.15,attitude_absolute,mid,kt_rmse_3d_cm,-0.53165414953147,-0.38798697466722,0,1,-0.826487287723115
0.15,attitude_absolute,mid,rpy_std_deg,-1.74276535867278,-1.73628975970115,0,0,-3.19571350959248
0.15,attitude_absolute,mid,visual_dispersion_3d_cm,-0.273754845638128,-0.201819009190894,1,2,-0.759883558001273
0.15,attitude_absolute,mid,vk_rmse_3d_cm,0.566904354439252,0.911447257259514,5,5,0.329374858487197
0.15,attitude_absolute,mid,vt_rmse_3d_cm,0.118479479588515,0.175510897217414,2,3,-0.29400731985359
0.15,attitude_absolute,top,kalman_pos_std_3d_cm,1.15657348651477,1.22931115180901,5,5,0.814922144147693
0.15,attitude_absolute,top,kt_rmse_3d_cm,0.852680217869133,0.924655847896674,5,5,0.560242660965417
0.15,attitude_absolute,top,rpy_std_deg,4.08161225001337,4.09959221445144,5,5,2.62403159682886
0.15,attitude_absolute,top,visual_dispersion_3d_cm,1.50721411635091,1.85945579061807,5,5,1.12802430098716
0.15,attitude_absolute,top,vk_rmse_3d_cm,0.855020551021327,1.46624178875189,5,5,0.717075287798762
0.15,attitude_absolute,top,vt_rmse_3d_cm,0.947602213781269,1.34990103526972,5,5,0.603111356136947
0.15,attitude_run_centered,bot,kalman_pos_std_3d_cm,0.408975964395522,0.421981150998015,4,4,-0.10237783758811
0.15,attitude_run_centered,bot,kt_rmse_3d_cm,0.423315665854079,0.44160049096738,4,5,-0.024156779769934
0.15,attitude_run_centered,bot,rpy_std_deg,0.665103514543395,0.670932622998637,5,5,0.253794677290718
0.15,attitude_run_centered,bot,visual_dispersion_3d_cm,0.37972410172889,0.474750219302813,5,5,0.100008291224821
0.15,attitude_run_centered,bot,vk_rmse_3d_cm,0.370082991131377,0.441763296318048,4,5,-0.000389738529262385
0.15,attitude_run_centered,bot,vt_rmse_3d_cm,0.444564721413672,0.529910415123855,5,5,0.110375704354954
0.15,attitude_run_centered,mid,kalman_pos_std_3d_cm,-0.555880857364717,-0.406582533510804,0,1,-0.881207984881037
0.15,attitude_run_centered,mid,kt_rmse_3d_cm,-0.53165414953147,-0.38798697466722,0,1,-0.826487287723115
0.15,attitude_run_centered,mid,rpy_std_deg,-1.74276535867278,-1.73628975970115,0,0,-3.19571350959248
0.15,attitude_run_centered,mid,visual_dispersion_3d_cm,-0.274250888805119,-0.202123467916139,1,2,-0.760101071267431
0.15,attitude_run_centered,mid,vk_rmse_3d_cm,0.581341364560281,0.925365012997796,5,5,0.25811154246958
0.15,attitude_run_centered,mid,vt_rmse_3d_cm,0.123592085899565,0.184436922436297,2,3,-0.301532980676283
0.15,attitude_run_centered,top,kalman_pos_std_3d_cm,1.15657348651477,1.22931115180901,5,5,0.814922144147693
0.15,attitude_run_centered,top,kt_rmse_3d_cm,0.852680217869133,0.924655847896674,5,5,0.560242660965417
0.15,attitude_run_centered,top,rpy_std_deg,4.08161225001337,4.09959221445144,5,5,2.62403159682886
0.15,attitude_run_centered,top,visual_dispersion_3d_cm,1.50704676111475,1.85939209342626,5,5,1.12697241784228
0.15,attitude_run_centered,top,vk_rmse_3d_cm,0.839182995673671,1.44357205734907,5,5,0.69466572536107
0.15,attitude_run_centered,top,vt_rmse_3d_cm,0.933579015273617,1.33183067651796,5,5,0.575165418041101
0.15,original_static,bot,kalman_pos_std_3d_cm,0.408975964395522,0.421981150998015,4,4,-0.10237783758811
0.15,original_static,bot,kt_rmse_3d_cm,0.423315665854079,0.44160049096738,4,5,-0.024156779769934
0.15,original_static,bot,rpy_std_deg,0.665103514543395,0.670932622998637,5,5,0.253794677290718
0.15,original_static,bot,visual_dispersion_3d_cm,0.577162761633503,0.577162761633503,5,5,0.314801654244595
0.15,original_static,bot,vk_rmse_3d_cm,0.495780354638562,0.674357318227784,5,5,0.0875411310316951
0.15,original_static,bot,vt_rmse_3d_cm,0.651534656833915,0.651534656833915,5,5,0.395924085449236
0.15,original_static,mid,kalman_pos_std_3d_cm,-0.555880857364717,-0.406582533510804,0,1,-0.881207984881037
0.15,original_static,mid,kt_rmse_3d_cm,-0.53165414953147,-0.38798697466722,0,1,-0.826487287723115
