test,level,run,segment,marker,shift_s,mode,n_samples,n_native_attitude,vt_rmse_3d_cm,visual_dispersion_3d_cm,vk_rmse_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.2,original_static,148,2437,7.00946262148943,3.75774823112857,6.45583720724537,3.07783594184906,2.90752586090445,4.49508880848227
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.2,attitude_absolute,148,2437,6.71709900665333,3.04160383813477,6.41396150231032,3.07783594184906,2.90752586090445,4.49508880848227
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.2,attitude_run_centered,148,2437,6.66645697616315,3.04177995918738,6.36660354076614,3.07783594184906,2.90752586090445,4.49508880848227
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.15,original_static,148,2437,7.00946262148943,3.75774823112857,6.37010428459858,3.08453305382638,2.91517522725107,4.47938839149639
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.15,attitude_absolute,148,2437,6.73734031847379,3.07136743624144,6.35768287141094,3.08453305382638,2.91517522725107,4.47938839149639
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.15,attitude_run_centered,148,2437,6.68677540298069,3.07151241511779,6.30991885851548,3.08453305382638,2.91517522725107,4.47938839149639
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.1,original_static,148,2438,7.00946262148943,3.75774823112857,6.29719849932167,3.08095696665294,2.91223739250955,4.46227893336393
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.1,attitude_absolute,148,2438,6.76594383679734,3.11637403177456,6.31786992639774,3.08095696665294,2.91223739250955,4.46227893336393
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.1,attitude_run_centered,148,2438,6.7154928990589,3.11649702962087,6.26980414298303,3.08095696665294,2.91223739250955,4.46227893336393
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.05,original_static,148,2438,7.00946262148943,3.75774823112857,6.25500206218951,3.08370812808294,2.91571121566767,4.44553270691089
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.05,attitude_absolute,148,2438,6.79505424562978,3.16340750357786,6.31049761772867,3.08370812808294,2.91571121566767,4.44553270691089
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,-0.05,attitude_run_centered,148,2438,6.74472628484089,3.16349709470865,6.2623598083852,3.08370812808294,2.91571121566767,4.44553270691089
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0,original_static,148,2438,7.00946262148943,3.75774823112857,6.22070758054775,3.07520172122572,2.90832262340592,4.42812528736317
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0,attitude_absolute,148,2438,6.83282318172784,3.21190927722056,6.31942169987273,3.07520172122572,2.90832262340592,4.42812528736317
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0,attitude_run_centered,148,2438,6.78257788945216,3.21195402990332,6.2712460833879,3.07520172122572,2.90832262340592,4.42812528736317
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.05,original_static,148,2437,7.00946262148943,3.75774823112857,6.22333529690649,3.07308661186529,2.90759921537445,4.41056159877831
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.05,attitude_absolute,148,2437,6.87643113311158,3.27195882410677,6.36016672628997,3.07308661186529,2.90759921537445,4.41056159877831
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.05,attitude_run_centered,148,2437,6.82632468991915,3.27198629140995,6.31215365877978,3.07308661186529,2.90759921537445,4.41056159877831
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.1,original_static,148,2436,7.00946262148943,3.75774823112857,6.24777741601626,3.06960261534544,2.90567437936727,4.3884913100261
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.1,attitude_absolute,148,2436,6.92194953218501,3.34292011378582,6.42388695146387,3.06960261534544,2.90567437936727,4.3884913100261
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.1,attitude_run_centered,148,2436,6.87205613557172,3.34291706383104,6.37625161181373,3.06960261534544,2.90567437936727,4.3884913100261
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.15,original_static,148,2437,7.00946262148943,3.75774823112857,6.28826986401698,3.07071005073255,2.91006665950556,4.36881702362473
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.15,attitude_absolute,148,2437,6.97689960823389,3.4260899093785,6.51708743730297,3.07071005073255,2.91006665950556,4.36881702362473
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.15,attitude_run_centered,148,2437,6.92728542445294,3.4260544741631,6.47004233586698,3.07071005073255,2.91006665950556,4.36881702362473
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.2,original_static,148,2438,7.00946262148943,3.75774823112857,6.35840621139435,3.07594690660461,2.91907884302197,4.35296841224736
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.2,attitude_absolute,148,2438,7.03953153574692,3.52390771218481,6.63801830902771,3.07594690660461,2.91907884302197,4.35296841224736
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,0.2,attitude_run_centered,148,2438,6.99023124290571,3.52385333992576,6.59165820485465,3.07594690660461,2.91907884302197,4.35296841224736
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.2,original_static,176,2601,5.92539837566851,2.80885589782843,5.66639111743032,1.96756859891194,1.72135111178811,3.84789786785778
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.2,attitude_absolute,176,2601,5.65838983621155,2.02819395685402,5.54573630832212,1.96756859891194,1.72135111178811,3.84789786785778
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.2,attitude_run_centered,176,2601,5.60169768463173,2.02774452432984,5.49182811353098,1.96756859891194,1.72135111178811,3.84789786785778
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.15,original_static,176,2601,5.92539837566851,2.80885589782843,5.62060090375965,1.96651412171244,1.72037865786508,3.84683088316138
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.15,attitude_absolute,176,2601,5.65346431252763,2.02715317928661,5.49341182682851,1.96651412171244,1.72037865786508,3.84683088316138
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.15,attitude_run_centered,176,2601,5.59678671791994,2.02669781875989,5.4390718429008,1.96651412171244,1.72037865786508,3.84683088316138
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.1,original_static,176,2602,5.92539837566851,2.80885589782843,5.5811961777353,1.96520374490944,1.71834743475982,3.84457866711517
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.1,attitude_absolute,176,2602,5.65537914505139,2.0519302854155,5.45156725122171,1.96520374490944,1.71834743475982,3.84457866711517
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.1,attitude_run_centered,176,2602,5.59880224601878,2.05146798235836,5.39691721566645,1.96520374490944,1.71834743475982,3.84457866711517
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.05,original_static,176,2602,5.92539837566851,2.80885589782843,5.54822824243828,1.96079816344079,1.71325748614063,3.84276116406969
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.05,attitude_absolute,176,2602,5.6654296093477,2.10189560251464,5.42881003370356,1.96079816344079,1.71325748614063,3.84276116406969
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,-0.05,attitude_run_centered,176,2602,5.6090657715641,2.10142235409708,5.3740953248012,1.96079816344079,1.71325748614063,3.84276116406969
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0,original_static,176,2602,5.92539837566851,2.80885589782843,5.52680720930396,1.95497673766424,1.70675574803996,3.84160408032116
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0,attitude_absolute,176,2602,5.68490629514954,2.17132798315482,5.42904136735219,1.95497673766424,1.70675574803996,3.84160408032116
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0,attitude_run_centered,176,2602,5.62884297101691,2.17087614767944,5.37446314916067,1.95497673766424,1.70675574803996,3.84160408032116
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0.05,original_static,176,2601,5.92539837566851,2.80885589782843,5.51606703029973,1.9495186241928,1.70008919389618,3.84191784511707
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0.05,attitude_absolute,176,2601,5.71369884511888,2.26558749788001,5.44694805936653,1.9495186241928,1.70008919389618,3.84191784511707
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0.05,attitude_run_centered,176,2601,5.65803255064449,2.26514122763798,5.39270926835245,1.9495186241928,1.70008919389618,3.84191784511707
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,0.1,original_static,176,2601,5.92539837566851,2.80885589782843,5.51705429563559,1.94440214674392,1.6942690919282,3.84210834388215
